N° eqt,Pression Nominale Relative,Masse de Gaz,Rapport Masse/Pression
5000004871,3.5,8.0,2.2857142857142856
5000004872,3.5,8.0,2.2857142857142856
5000004963,3.5,54.0,15.428571428571429
5000004964,3.5,54.0,15.428571428571429
5000013449,3.5,26.5,7.571428571428571
5000013450,3.5,24.5,7.0
5000013451,3.5,23.0,6.571428571428571
5000041227,3.5,44.0,12.571428571428571
5000041228,3.5,320.0,91.42857142857143
5000041270,3.5,163.5,46.714285714285715
5000041271,3.5,163.5,46.714285714285715
5000041282,3.5,36.5,10.428571428571429
5000041283,3.5,24.0,6.857142857142857
5000041284,3.5,21.5,6.142857142857143
5000042123,3.5,163.5,46.714285714285715
5000042124,3.5,44.0,12.571428571428571
5000042125,3.5,44.0,12.571428571428571
5000042126,3.5,320.0,91.42857142857143
5000042127,3.5,320.0,91.42857142857143
5000005138,3.5,1.5,0.42857142857142855
5000013659,3.5,1.5,0.42857142857142855
5000013660,3.5,1.5,0.42857142857142855
5000041272,3.5,321.0,91.71428571428571
5000041273,3.5,321.0,91.71428571428571
5000041274,3.5,44.0,12.571428571428571
5000041275,3.5,1.5,0.42857142857142855
5000041276,3.5,224.0,64.0
5000041277,3.5,224.0,64.0
5000041285,3.5,21.5,6.142857142857143
5000042128,3.5,321.0,91.71428571428571
5000042129,3.5,44.0,12.571428571428571
5000042130,3.5,44.0,12.571428571428571
5000042131,3.5,1.5,0.42857142857142855
5000042132,3.5,1.5,0.42857142857142855
5000042133,3.5,224.0,64.0
5000042135,3.5,22.0,6.285714285714286
5000042136,3.5,36.5,10.428571428571429
5000041229,3.5,81.0,23.142857142857142
5000041230,3.5,22.0,6.285714285714286
5000041278,3.5,81.0,23.142857142857142
5000041279,3.5,81.0,23.142857142857142
5000041286,3.5,16.0,4.571428571428571
5000041288,3.5,44.0,12.571428571428571
5000041289,3.5,44.0,12.571428571428571
5000042011,3.5,24.0,6.857142857142857
5000042012,3.5,36.5,10.428571428571429
5000042013,3.5,21.5,6.142857142857143
5000042139,3.5,137.0,39.142857142857146
5000042140,3.5,137.0,39.142857142857146
5000042141,3.5,137.0,39.142857142857146
